edge,geodesic_distance_km,gh_distance_km,distance_diff_km,distance_pct_change,geodesic_time_min,gh_time_min,time_diff_min,time_pct_change
36061022900->36061023700,0.6747404331729352,0.6747404331729352,0.0,0.0,0,0,0,0
36061022900->36061023300,0.3700920805062006,0.3700920805062006,0.0,0.0,0,0,0,0
36061022900->36061021100,1.4877945704299813,1.4877945704299813,0.0,0.0,0,0,0,0
36061022900->36061020701,1.8548931695411048,1.8548931695411048,0.0,0.0,0,0,0,0
36061022900->36061022302,0.7350645703665464,0.7350645703665464,0.0,0.0,0,0,0,0
36061022900->36061020500,2.195278611541443,2.195278611541443,0.0,0.0,0,0,0,0
36061022900->36061024302,1.2988380753091149,1.2988380753091149,0.0,0.0,0,0,0,0
36061022900->36061025300,2.132739935087443,2.132739935087443,0.0,0.0,0,0,0,0
36061022900->36061023900,1.1901092225703962,1.1901092225703962,0.0,0.0,0,0,0,0
36061022900->36061024301,1.45922003461411,1.45922003461411,0.0,0.0,0,0,0,0
36061022900->36061024500,1.473214527102346,1.473214527102346,0.0,0.0,0,0,0,0
36061022900->36061024100,1.0213741917258559,1.0213741917258559,0.0,0.0,0,0,0,0
36061022900->36061024700,1.4114810388392982,1.4114810388392982,0.0,0.0,0,0,0,0
36061022900->36061025500,2.0534967234832644,2.0534967234832644,0.0,0.0,0,0,0,0
36061022900->36061025100,1.8945637629768255,1.8945637629768255,0.0,0.0,0,0,0,0
36061022900->36061024900,1.828087008765089,1.828087008765089,0.0,0.0,0,0,0,0
36061022900->36061026100,2.6334614215092715,2.6334614215092715,0.0,0.0,0,0,0,0
36061022900->36061026300,2.7998126563105674,2.7998126563105674,0.0,0.0,0,0,0,0
36061022900->36061022301,0.6173662680457425,0.6173662680457425,0.0,0.0,0,0,0,0
36061022900->36005005100,2.6443761596056867,2.6443761596056867,0.0,0.0,0,0,0,0
36061022900->36005006500,2.569833948194553,2.569833948194553,0.0,0.0,0,0,0,0
36061022900->36005005902,2.3164285195051666,2.3164285195051666,0.0,0.0,0,0,0,0
36061022900->36005006100,2.5167066794074264,2.5167066794074264,0.0,0.0,0,0,0,0
36061022900->36005006700,2.58811271393775,2.58811271393775,0.0,0.0,0,0,0,0
36061022900->36061023501,0.8522120522601437,0.8522120522601437,0.0,0.0,0,0,0,0
36061022900->36061025700,2.0452581134849455,2.0452581134849455,0.0,0.0,0,0,0,0
36061022900->36061021000,2.0212867819542453,2.0212867819542453,0.0,0.0,0,0,0,0
36061022900->36061024200,2.2843014463285973,2.2843014463285973,0.0,0.0,0,0,0,0
36061022900->36061021703,1.0776000816356828,1.0776000816356828,0.0,0.0,0,0,0,0
36061022900->36061020300,2.1311577434158355,2.1311577434158355,0.0,0.0,0,0,0,0
36061022900->36061019800,2.418228200089842,2.418228200089842,0.0,0.0,0,0,0,0
36061022900->36061021200,1.6113625823675743,1.6113625823675743,0.0,0.0,0,0,0,0
36061022900->36005006300,2.128435561252839,2.128435561252839,0.0,0.0,0,0,0,0
36061022900->36005019700,2.9484383081507293,2.9484383081507293,0.0,0.0,0,0,0,0
36061022900->36005018900,1.7839944231415648,1.7839944231415648,0.0,0.0,0,0,0,0
36061022900->36005019300,2.412860510111544,2.412860510111544,0.0,0.0,0,0,0,0
36061022900->36061022200,1.9352619070010268,1.9352619070010268,0.0,0.0,0,0,0,0
36061022900->36005018302,2.7447644170367695,2.7447644170367695,0.0,0.0,0,0,0,0
36061022900->36005019500,2.4741486025301067,2.4741486025301067,0.0,0.0,0,0,0,0
36061022900->36005020100,2.744810725987906,2.744810725987906,0.0,0.0,0,0,0,0
36061022900->36005021100,2.851358274451329,2.851358274451329,0.0,0.0,0,0,0,0
36061022900->36061022700,0.49721908841386453,0.49721908841386453,0.0,0.0,0,0,0,0
36061022900->36061023400,1.0505017007673196,1.0505017007673196,0.0,0.0,0,0,0,0
36061022900->36061022102,0.8853462828213143,0.8853462828213143,0.0,0.0,0,0,0,0
36061022900->36061022800,1.2715002210371182,1.2715002210371182,0.0,0.0,0,0,0,0
36061022900->36061025900,0.7909639851728419,0.7909639851728419,0.0,0.0,0,0,0,0
36061022900->36005018102,2.879783928431498,2.879783928431498,0.0,0.0,0,0,0,0
36061022900->36005018301,2.580925100710758,2.580925100710758,0.0,0.0,0,0,0,0
36061022900->36005019900,2.4911170134258835,2.4911170134258835,0.0,0.0,0,0,0,0
36061022900->36061020600,2.1944507831444353,2.1944507831444353,0.0,0.0,0,0,0,0
36061022900->36061022500,0.45105649308467216,0.45105649308467216,0.0,0.0,0,0,0,0
36061022900->36061018600,2.9529305117465943,2.9529305117465943,0.0,0.0,0,0,0,0
36061022900->36061023502,1.0606982920020056,1.0606982920020056,0.0,0.0,0,0,0,0
36061022900->36005017300,2.9224723602365095,2.9224723602365095,0.0,0.0,0,0,0,0
36061022900->36061023600,1.345939297074343,1.345939297074343,0.0,0.0,0,0,0,0
36061022900->36005002300,2.824283986292254,2.824283986292254,0.0,0.0,0,0,0,0
36061022900->36061021303,1.2413740067680668,1.2413740067680668,0.0,0.0,0,0,0,0
36061022900->36061018400,2.931615227180491,2.931615227180491,0.0,0.0,0,0,0,0
36085000600->36085002100,1.9293995980996717,1.9293995980996717,0.0,0.0,0,0,0,0
36085000600->36085000800,0.8413380389447435,0.8413380389447435,0.0,0.0,0,0,0,0
36085000600->36085003600,0.6545055723472308,0.6545055723472308,0.0,0.0,0,0,0,0
36085000600->36085006400,2.786435387413515,2.786435387413515,0.0,0.0,0,0,0,0
36085000600->36047016200,2.971722845481222,2.971722845481222,0.0,0.0,0,0,0,0
