edge,geodesic_distance_km,gh_distance_km,distance_diff_km,distance_pct_change,geodesic_time_min,gh_time_min,time_diff_min,time_pct_change
17031020702->17031020301,2.302698532514451,2.302698532514451,0.0,0.0,4.605397065028902,4.605397065028902,0.0,0.0
17031020702->17031020602,1.8653720436433745,1.8653720436433745,0.0,0.0,3.730744087286749,3.730744087286749,0.0,0.0
17031020702->17031020901,2.0338006008225764,2.0338006008225764,0.0,0.0,4.067601201645153,4.067601201645153,0.0,0.0
17031020702->17031808002,2.3382318808305564,2.3382318808305564,0.0,0.0,4.676463761661113,4.676463761661113,0.0,0.0
17031020702->17031808001,3.9906116521165824,3.9906116521165824,0.0,0.0,7.981223304233165,7.981223304233165,0.0,0.0
17031020702->17031807600,4.683980667080193,4.683980667080193,0.0,0.0,9.367961334160386,9.367961334160386,0.0,0.0
17031020500->17031020902,0.8334728897637012,0.8334728897637012,0.0,0.0,1.6669457795274023,1.6669457795274023,0.0,0.0
17031020500->17031830600,1.0270165220575922,1.0270165220575922,0.0,0.0,2.0540330441151844,2.0540330441151844,0.0,0.0
17031020500->17031030300,1.1396005291731193,1.1396005291731193,0.0,0.0,2.2792010583462385,2.2792010583462385,0.0,0.0
17031020500->17031020400,1.460075521444025,1.460075521444025,0.0,0.0,2.92015104288805,2.92015104288805,0.0,0.0
17031020500->17031020901,1.3211168347564557,1.3211168347564557,0.0,0.0,2.6422336695129114,2.6422336695129114,0.0,0.0
17031020500->17031010701,1.5386649884046908,1.5386649884046908,0.0,0.0,3.0773299768093816,3.0773299768093816,0.0,0.0
17031020500->17031020602,1.3389949373827545,1.3389949373827545,0.0,0.0,2.677989874765509,2.677989874765509,0.0,0.0
17031020500->17031020802,1.5537590330814093,1.5537590330814093,0.0,0.0,3.1075180661628186,3.1075180661628186,0.0,0.0
17031020500->17031010702,1.8384112051139319,1.8384112051139319,0.0,0.0,3.6768224102278637,3.6768224102278637,0.0,0.0
17031020500->17031020302,1.9910323325978165,1.9910323325978165,0.0,0.0,3.9820646651956335,3.9820646651956335,0.0,0.0
17031020500->17031020100,2.3575791810711277,2.3575791810711277,0.0,0.0,4.7151583621422555,4.7151583621422555,0.0,0.0
17031243000->17031243100,0.6574971523870417,0.6574971523870417,0.0,0.0,1.3149943047740833,1.3149943047740833,0.0,0.0
17031243000->17031242300,0.725988302697868,0.725988302697868,0.0,0.0,1.451976605395736,1.451976605395736,0.0,0.0
17031243000->17031242900,0.758572001186665,0.758572001186665,0.0,0.0,1.51714400237333,1.51714400237333,0.0,0.0
17031243000->17031242400,0.8116198649920646,0.8116198649920646,0.0,0.0,1.6232397299841292,1.6232397299841292,0.0,0.0
17031243000->17031242200,0.9430787065097384,0.9430787065097384,0.0,0.0,1.8861574130194767,1.8861574130194767,0.0,0.0
17031243000->17031242800,1.0492101211553548,1.0492101211553548,0.0,0.0,2.0984202423107097,2.0984202423107097,0.0,0.0
17031243000->17031241300,1.5243067120965983,1.5243067120965983,0.0,0.0,3.0486134241931966,3.0486134241931966,0.0,0.0
17031243000->17031243200,1.1756504233298501,1.1756504233298501,0.0,0.0,2.3513008466597003,2.3513008466597003,0.0,0.0
17031243000->17031280400,1.4598074923831996,1.4598074923831996,0.0,0.0,2.9196149847663992,2.9196149847663992,0.0,0.0
17031243000->17031242500,1.3354533640830077,1.3354533640830077,0.0,0.0,2.6709067281660155,2.6709067281660155,0.0,0.0
17031243000->17031837800,2.0970529832241622,2.0970529832241622,0.0,0.0,4.1941059664483245,4.1941059664483245,0.0,0.0
17031070700->17031051300,0.7799285453183618,0.7799285453183618,0.0,0.0,1.5598570906367235,1.5598570906367235,0.0,0.0
17031070700->17031070600,0.8913899448955361,0.8913899448955361,0.0,0.0,1.7827798897910723,1.7827798897910723,0.0,0.0
17031070700->17031062700,1.264977903135318,1.264977903135318,0.0,0.0,2.529955806270636,2.529955806270636,0.0,0.0
17031070700->17031832300,1.5337058437741025,1.5337058437741025,0.0,0.0,3.067411687548205,3.067411687548205,0.0,0.0
17031070700->17031051400,1.248436578456928,1.248436578456928,0.0,0.0,2.496873156913856,2.496873156913856,0.0,0.0
17031070700->17031832500,1.4102861194232943,1.4102861194232943,0.0,0.0,2.8205722388465886,2.8205722388465886,0.0,0.0
17031070700->17031070500,1.3440831538747684,1.3440831538747684,0.0,0.0,2.688166307749537,2.688166307749537,0.0,0.0
17031070700->17031062500,1.8452668008037025,1.8452668008037025,0.0,0.0,3.690533601607405,3.690533601607405,0.0,0.0
17031070700->17031830900,1.4745831259824818,1.4745831259824818,0.0,0.0,2.9491662519649635,2.9491662519649635,0.0,0.0
17031280100->17031281900,1.0247918367535969,1.0247918367535969,0.0,0.0,2.0495836735071937,2.0495836735071937,0.0,0.0
17031280100->17031081800,1.2877612014289113,1.2877612014289113,0.0,0.0,2.5755224028578225,2.5755224028578225,0.0,0.0
17031280100->17031081900,1.7388168338421928,1.7388168338421928,0.0,0.0,3.4776336676843855,3.4776336676843855,0.0,0.0
17031280100->17031839100,1.412048276905762,1.412048276905762,0.0,0.0,2.824096553811524,2.824096553811524,0.0,0.0
17031280100->17031243500,1.5370991202962823,1.5370991202962823,0.0,0.0,3.0741982405925645,3.0741982405925645,0.0,0.0
17031280100->17031081700,1.5623450791566533,1.5623450791566533,0.0,0.0,3.1246901583133067,3.1246901583133067,0.0,0.0
17031280100->17031833000,1.4786200408896386,1.4786200408896386,0.0,0.0,2.957240081779277,2.957240081779277,0.0,0.0
17031280100->17031833100,1.6457103443900292,1.6457103443900292,0.0,0.0,3.2914206887800583,3.2914206887800583,0.0,0.0
